rs_id,gene_symbol,clinvar_variation_id,clinical_signficance,medgen_id,condition_name
rs28365063,UGT2B7,RCV001028961,drug response,CN078023,Tramadol response
rs1128503,ABCB1,RCV000174498,Benign,CN169374,not specified
rs1128503,ABCB1,RCV000835734,Benign,CN517202,not provided
rs1128503,ABCB1,RCV001029394,drug response,CN078023,Tramadol response
rs1051740,EPHX1,RCV000018075,Benign,,EPOXIDE HYDROLASE 1 POLYMORPHISM
rs1051740,EPHX1,RCV000211229,drug response,CN236494,carbamazepine response - Dosage
rs1051740,EPHX1,RCV000991132,risk factor,C0010674,Cystic fibrosis (CF)
rs2273697,ABCC2,RCV000254241,Benign,CN169374,not specified
rs2273697,ABCC2,RCV000333965,Benign,C0022350,Dubin-Johnson syndrome (DJS)
rs2740574,CYP3A4,RCV000018417,Benign,,CYP3A4 PROMOTER POLYMORPHISM
rs2740574,CYP3A4,RCV000018418,Benign,,Cyp3a4-v
rs2740574,CYP3A4,RCV000211361,drug response,CN236545,tacrolimus response - Dosage
rs2306283,SLCO1B1,RCV000251891,Benign,CN169374,not specified
rs2306283,SLCO1B1,RCV000405902,Benign,C0220991,Rotor syndrome (HBLRR)
rs2306283,SLCO1B1,RCV000755390,Benign,CN517202,not provided
rs2306283,SLCO1B1,RCV000999564,Benign,C0017551,Gilbert's syndrome
rs4149056,SLCO1B1,RCV000211187,drug response,CN236613,rosuvastatin response - Other
rs4149056,SLCO1B1,RCV000211193,drug response,CN236605,pravastatin response - Metabolism/PK
rs4149056,SLCO1B1,RCV000211245,drug response,CN236621,simvastatin response - Toxicity/ADR
rs4149056,SLCO1B1,RCV000211366,drug response,CN236499,cerivastatin response - Toxicity/ADR
rs4149056,SLCO1B1,RCV000311457,Benign,C0220991,Rotor syndrome (HBLRR)
rs4149056,SLCO1B1,RCV000325818,"Benign, other",CN517202,not provided
rs4149056,SLCO1B1,RCV000417143,drug response,CN240596,"hmg coa reductase inhibitors response - Toxicity/ADR, Metabolism/PK"
rs4149056,SLCO1B1,RCV000660832,drug response,,simvastatin acid response - Metabolism/PK
rs4149056,SLCO1B1,RCV000999565,Pathogenic,C0017551,Gilbert's syndrome
rs4149057,SLCO1B1,RCV000243891,Benign,CN169374,not specified
rs4149057,SLCO1B1,RCV000369698,Benign,C0220991,Rotor syndrome (HBLRR)
rs4646450,CYP3A5,RCV000167563,association,CN228655,appendicular lean mass relative to body height
rs1045642,ABCB1,RCV000014699,Benign,,MDR1 POLYMORPHISM
rs1045642,ABCB1,RCV000211142,drug response,CN236569,ondansetron response - Efficacy
rs1045642,ABCB1,RCV000211266,drug response,CN236607,methotrexate response - Toxicity/ADR
rs1045642,ABCB1,RCV000211276,drug response,CN236609,nevirapine response - Toxicity/ADR
rs1045642,ABCB1,RCV000211363,drug response,CN236525,digoxin response - Other
rs1045642,ABCB1,RCV000441548,not provided,C0007131,Non-small cell lung cancer (NSCLC)
rs1045642,ABCB1,RCV000660758,drug response,,"fentanyl response - Dosage, Efficacy"
rs1045642,ABCB1,RCV000660759,drug response,,"methadone response - Dosage, Efficacy"
rs1045642,ABCB1,RCV000660760,drug response,,"morphine response - Dosage, Efficacy"
rs1045642,ABCB1,RCV000660761,drug response,,"opioids response - Dosage, Efficacy"
rs1045642,ABCB1,RCV000660762,drug response,,"oxycodone response - Dosage, Efficacy"
rs1045642,ABCB1,RCV000660763,drug response,,"tramadol response - Dosage, Efficacy"
rs1045642,ABCB1,RCV000835732,Benign,CN517202,not provided
rs1045642,ABCB1,RCV001029504,drug response,CN078023,Tramadol response
rs2032582,ABCB1,RCV000152713,Benign,CN169374,not specified
rs2032582,ABCB1,RCV000429867,not provided,C0919267,Neoplasm of ovary
rs2032582,ABCB1,RCV000014698,risk factor,C2677101,Inflammatory bowel disease 13 (IBD13)
rs2032582,ABCB1,RCV000152717,Benign,CN169374,not specified
rs2032582,ABCB1,RCV000211207,drug response,CN236569,ondansetron response - Efficacy
rs2032582,ABCB1,RCV000211425,drug response,CN236582,simvastatin response - Efficacy
rs2032582,ABCB1,RCV000835733,Benign,CN517202,not provided
rs2032582,ABCB1,RCV001028649,drug response,CN078023,Tramadol response
rs28365062,UGT2B7,RCV001028138,drug response,CN078023,Tramadol response
rs2266782,FMO3,RCV000017711,Pathogenic,C4016101,"Trimethylaminuria, mild"
rs2266782,FMO3,RCV000201276,Likely pathogenic,C0342739,Trimethylaminuria (TMAU)
rs2266782,FMO3,RCV000201278,Pathogenic,C0342739,Trimethylaminuria (TMAU)
rs2266782,FMO3,RCV000248637,Benign,CN169374,not specified
rs2266782,FMO3,RCV000361492,Benign,C0342739,Trimethylaminuria (TMAU)
rs1057868,POR,RCV000251974,Benign,CN169374,not specified
rs1057868,POR,RCV000405449,Benign,C1860042,Disordered steroidogenesis due to cytochrome p450 oxidoreductase deficiency (ABS1)
rs1057868,POR,RCV001282459,Benign,CN235283,none provided
rs1057868,POR,RCV001292550,Benign,C2936858,Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
rs61750900,UGT2B10,RCV000211286,drug response,CN236603,nicotine response - Metabolism/PK
rs1048661,LOXL1-AS1,RCV000015434,risk factor,C4016255,"Exfoliation syndrome, susceptibility to"
rs3825942,LOXL1-AS1,RCV000015435,risk factor,C4016255,"Exfoliation syndrome, susceptibility to"
rs104894075,GDAP1,RCV000004410,Pathogenic,C1859198,"Charcot-Marie-Tooth disease, type 4A (CMT4A)"
rs104894075,GDAP1,RCV000004411,Pathogenic,C1842983,Charcot-Marie-Tooth disease type 2K (CMT2K)
rs104894075,GDAP1,RCV000023562,Pathogenic,C1843183,"Charcot-Marie-Tooth disease, axonal, with vocal cord paresis, autosomal recessive"
rs104894075,GDAP1,RCV000760312,Pathogenic,CN517202,not provided
rs104894099,CDKN2A,RCV000581457,Uncertain significance,C0027672,Hereditary cancer-predisposing syndrome
rs104894099,CDKN2A,RCV000010030,risk factor,C1835044,Cutaneous malignant melanoma 2 (CMM2)
rs104894099,CDKN2A,RCV000409228,Likely pathogenic,C1838547,Melanoma-pancreatic cancer syndrome
rs104894099,CDKN2A,RCV000494082,Likely pathogenic,C0027672,Hereditary cancer-predisposing syndrome
rs104894099,CDKN2A,RCV000545232,Pathogenic,C1512419,Hereditary melanoma
rs568612627,GJB2,RCV000665870,Likely pathogenic,C2673759,"Deafness, autosomal recessive 1A (DFNB1A)"
rs568612627,GJB2,RCV001218684,Pathogenic,CN517202,not provided
rs80338948,GJB2,RCV000018533,Pathogenic,C2673759,"Deafness, autosomal recessive 1A (DFNB1A)"
rs80338948,GJB2,RCV000146023,Pathogenic,C1384666,Hearing impairment
rs80338948,GJB2,RCV000211779,Pathogenic,CN826980,Rare genetic deafness
rs80338948,GJB2,RCV000255157,Pathogenic,CN517202,not provided
rs80338948,GJB2,RCV000515418,Pathogenic,,
rs80338948,GJB2,RCV000678885,Pathogenic,C3887873,Hearing loss
rs80338948,GJB2,RCV001027826,Pathogenic,,
rs80338948,GJB2,RCV001196233,Pathogenic,C2675750,"Deafness, autosomal dominant 3a (DFNA3A)"
rs80338948,GJB2,RCV001257564,Pathogenic,CN043648,Nonsyndromic hearing loss and deafness
rs80338948,GJB2,RCV001286490,Pathogenic,CN235283,none provided
rs80338950,GJB2,RCV000018531,Pathogenic,C2673759,"Deafness, autosomal recessive 1A (DFNB1A)"
rs80338950,GJB2,RCV000211781,Pathogenic,CN826980,Rare genetic deafness
rs80338950,GJB2,RCV000657913,Pathogenic,CN517202,not provided
rs80338950,GJB2,RCV000678888,Pathogenic,C3887873,Hearing loss
rs80338950,GJB2,RCV000763321,Pathogenic,,
rs80338950,GJB2,RCV000999734,Pathogenic,CN235283,none provided
rs80338950,GJB2,RCV001112461,Likely benign,C1865234,Hystrix-like ichthyosis with deafness
rs80338950,GJB2,RCV001112462,Conflicting interpretations of pathogenicity,C2675750,"Deafness, autosomal dominant 3a (DFNA3A)"
rs80338950,GJB2,RCV001257160,Pathogenic,CN043648,Nonsyndromic hearing loss and deafness
rs80338950,GJB2,RCV000022511,Pathogenic/Likely pathogenic,C2675750,"Deafness, autosomal dominant 3a (DFNA3A)"
rs80338950,GJB2,RCV000146024,Pathogenic,C1384666,Hearing impairment
